Distance_(pixels),Gray_Value
0,0.000000033
1,0.000000023
2,0.000000025
3,0.000000025
4,0.000000025
5,0.000000027
6,0.000000028
7,0.000000031
8,0.000000022
9,0.000000020
10,0.000000018
11,0.000000012
12,0.000000014
13,0.000000015
14,0.000000016
15,0.000000015
16,0.000000014
17,0.000000008
18,0.000000008
19,0.000000014
20,0.000000010
21,0.000000008
22,0.000000008
23,0.000000011
24,0.000000011
25,0.000000010
26,0.000000010
27,0.000000011
28,0.000000009
29,0.000000014
30,0.000000017
31,0.000000014
32,0.000000013
33,0.000000018
34,0.000000018
35,0.000000025
36,0.000000024
37,0.000000023
38,0.000000031
39,0.000000031
40,0.000000035
41,0.000000030
42,0.000000034
43,0.000000036
44,0.000000040
45,0.000000046
46,0.000000047
47,0.000000045
48,0.000000046
49,0.000000055
50,0.000000053
51,0.000000057
52,0.000000064
53,0.000000069
54,0.000000062
55,0.000000064
56,0.000000066
57,0.000000073
58,0.000000073
59,0.000000073
60,0.000000070
61,0.000000073
62,0.000000072
63,0.000000074
64,0.000000074
65,0.000000073
66,0.000000074
67,0.000000083
68,0.000000081
69,0.000000081
70,0.000000078
71,0.000000078
72,0.000000080
73,0.000000077
74,0.000000077
75,0.000000080
76,0.000000078
77,0.000000073
78,0.000000066
79,0.000000071
80,0.000000077
81,0.000000075
82,0.000000068
83,0.000000063
84,0.000000057
85,0.000000058
86,0.000000067
87,0.000000060
88,0.000000055
89,0.000000053
90,0.000000048
91,0.000000047
92,0.000000045
93,0.000000033
94,0.000000041
95,0.000000034
96,0.000000030
97,0.000000026
98,0.000000025
99,0.000000021
100,0.000000021
101,0.000000022
102,0.000000020
103,0.000000014
104,0.000000012
105,0.000000012
106,0.000000009
107,0.000000011
108,0.000000012
109,0.000000008
110,0.000000007
111,0.000000007
112,0.000000005
113,0.000000007
114,0.000000005
115,0.000000005
116,0.000000006
117,0.000000007
118,0.000000007
119,0.000000006
120,0.000000008
121,0.000000012
122,0.000000009
123,0.000000010
124,0.000000013
125,0.000000014
126,0.000000018
127,0.000000017
128,0.000000020
129,0.000000020
130,0.000000024
131,0.000000025
132,0.000000028
